weight (without 200g starting weight)[g], translation_bottom [mm], translation_top [mm]
145, 8.41, 8.69
146, 8.42, 8.71
147, 8.39, 8.72
148, 8.40, 8.74
149, 8.37, 8.76
150, 8.36, 8.77
151, 8.30, 8.79
152, 8.29, 8.81
153, 8.27, 8.83
154, 8.21, 8.89
155, 8.17, 8.94
156, 8.08, 9.02
157, 7.99, 9.12
158, 7.85, 9.26
159, 7.70, 9.49
160, 7.44, 9.66
161, 7.29, 9.92
162, 7.06, 10.02
163, 7.03, 10.10
164, 7.73, 9.35
165, 8.04, 9.10
166, 8.14, 8.98
167, 8.22, 8.92
168, 8.26, 8.87
169, 8.31, 8.83
170, 8.32, 8.80
171, 8.36, 8.79
172, 8.38, 8.75
173, 8.40, 8.73
174, 8.44, 8.72
175, 8.41, 8.71